Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,Crash Year,Crash Month,Day of Week,Time of Day,Hour of Day,Illumination,Weather,Road Condition,Collision Type,Fatality Count,Injury Count,Arrival Time,Dispatch Time,Vehicle Count,Automobile Count,Motorcycle Count,Bus Count,Small Truck Count,Heavy Truck Count,SUV Count,Van Count,Bicycle Count,Pedestrian Count,Latitude (Decimal),Longitude (Decimal),Speeding Related,Aggressive Driving
2004212449,46,Montgomery,46220,Upper Merion Twp,2004,8,3,1313,13,Daylight,No adverse conditions,Dry,Angle,0,2,9999,9999,3,2,0,0,1,0,0,0,0,0,40.0949,-75.3619,No,Yes
1999139546,46,Montgomery,46220,Upper Merion Twp,1999,12,3,218,2,Dark street lights,No adverse conditions,Wet,Hit fixed object,0,1,9999,9999,1,1,0,0,0,0,0,0,0,0,40.0726,-75.3438,No,No
2000066647,46,Montgomery,46220,Upper Merion Twp,2000,5,7,1022,10,Daylight,Rain,Wet,Hit fixed object,0,0,9999,9999,1,1,0,0,0,0,0,0,0,0,,,Yes,Yes
2001264244,46,Montgomery,46220,Upper Merion Twp,2001,7,6,1111,11,Daylight,No adverse conditions,Dry,Angle,0,2,9999,9999,2,2,0,0,0,0,0,0,0,0,,,No,Yes
1997120526,46,Montgomery,46220,Upper Merion Twp,1997,12,6,1246,12,Daylight,No adverse conditions,Dry,Sideswipe (same dir.),0,0,9999,9999,2,1,0,0,0,1,0,0,0,0,40.1039,-75.4199,No,Yes
2007108181,46,Montgomery,46220,Upper Merion Twp,2007,9,6,853,8,Daylight,No adverse conditions,Dry,Rear-end,0,0,910,855,2,2,0,0,0,0,0,0,0,0,40.0763,-75.3639,Yes,Yes
1997127822,46,Montgomery,46220,Upper Merion Twp,1997,11,6,1854,18,Dark street lights,No adverse conditions,Wet,Rear-end,0,0,9999,9999,2,1,0,0,0,0,1,0,0,0,40.0733,-75.345,No,Yes
1997081521,46,Montgomery,46220,Upper Merion Twp,1997,7,5,1626,16,Daylight,Rain,Wet,Rear-end,0,4,9999,9999,3,1,0,0,0,1,1,0,0,0,40.0957,-75.3593,Yes,Yes
1998032832,46,Montgomery,46220,Upper Merion Twp,1998,3,7,1928,19,Dark no street lights,Rain,Wet,Hit fixed object,0,0,9999,9999,1,1,0,0,0,0,0,0,0,0,,,Yes,Yes
2002223368,46,Montgomery,46220,Upper Merion Twp,2002,6,5,1531,15,Daylight,No adverse conditions,Dry,Angle,0,4,9999,9999,3,2,0,0,0,0,1,0,0,0,40.0854,-75.3943,No,Yes
2005119196,46,Montgomery,46220,Upper Merion Twp,2005,2,1,345,3,Dark no street lights,No adverse conditions,Dry,Hit fixed object,1,0,354,349,1,1,0,0,0,0,0,0,0,0,40.0764,-75.3835,Yes,Yes
1997046333,46,Montgomery,46220,Upper Merion Twp,1997,5,4,702,7,Daylight,No adverse conditions,Dry,Angle,0,1,9999,9999,2,2,0,0,0,0,0,0,0,0,40.0825,-75.392,Yes,Yes
2000113622,46,Montgomery,46220,Upper Merion Twp,2000,10,3,1609,16,Daylight,Rain,Wet,Rear-end,0,1,9999,9999,3,2,0,0,0,0,0,1,0,0,40.1058,-75.4082,No,Yes
2003237202,46,Montgomery,46220,Upper Merion Twp,2003,10,4,2122,21,Dark no street lights,No adverse conditions,Dry,Rear-end,0,1,9999,9999,2,1,0,0,0,0,0,1,0,0,40.096,-75.3581,No,Yes
1999093776,46,Montgomery,46220,Upper Merion Twp,1999,7,3,1830,18,Daylight,No adverse conditions,Dry,Rear-end,0,1,9999,9999,4,3,0,0,1,0,0,0,0,0,,,No,No
2008030542,46,Montgomery,46220,Upper Merion Twp,2008,2,7,1659,16,Daylight,No adverse conditions,Dry,Rear-end,0,1,1702,1700,4,3,0,0,0,0,1,0,0,0,40.0924,-75.3704,Yes,Yes
2000016412,46,Montgomery,46220,Upper Merion Twp,2000,3,6,1548,15,Daylight,No adverse conditions,Dry,Angle,0,1,9999,9999,2,2,0,0,0,0,0,0,0,0,,,No,Yes
2007097363,46,Montgomery,46220,Upper Merion Twp,2007,8,4,1311,13,Daylight,No adverse conditions,Dry,Rear-end,0,0,1329,1314,2,1,0,0,0,0,1,0,0,0,40.0763,-75.3639,Yes,No
